CASRN,Substance name,HSNO code,HSNO classification text,GHS translation
21282-97-3,"Butanoic acid, 3-oxo-, 2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl ester",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
2142-63-4,3'-Bromoacetophenone,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2142-63-4,3'-Bromoacetophenone,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
21462-39-5,Clindamycin hydrochloride,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
21462-39-5,Clindamycin hydrochloride,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
21462-39-5,Clindamycin hydrochloride,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2152-44-5,Betamethasone valerate,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
2152-44-5,Betamethasone valerate,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
2152-44-5,Betamethasone valerate,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
2155-94-4,Dimethylallylamine,3.1B,Flammable Liquids: high hazard,GHS: Flammable liquids - Category 2
2155-94-4,Dimethylallylamine,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2155-94-4,Dimethylallylamine,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21564-17-0,2-(Thiocyanomethylthio) benzothiazole,9.3C,Harmful to terrestrial vertebrates,
2160-93-2,t-Butyldiethanolamine,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
2160-93-2,t-Butyldiethanolamine,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
21615-34-9,2-Methoxybenzoyl chloride,6.1E (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 5
21615-34-9,2-Methoxybenzoyl chloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
21615-34-9,2-Methoxybenzoyl chloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
2162-98-3,"1,10-Dichlorodecane",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2162-99-4,"1,8-Dichlorooctane",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
21626-24-4,EDTA Iron (II) sodium,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
21626-24-4,EDTA Iron (II) sodium,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
21626-24-4,EDTA Iron (II) sodium,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21626-24-4,EDTA Iron (II) sodium,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21626-24-4,EDTA Iron (II) sodium,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2163-00-0,"1,6-Dichlorohexane",9.1D (algal),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
2163-00-0,"1,6-Dichlorohexane",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
2163-00-0,"1,6-Dichlorohexane",9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
2163-80-6,Methylarsinic acid,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
2163-80-6,Methylarsinic acid,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
2163-80-6,Methylarsinic acid,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2163-80-6,Methylarsinic acid,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2163-80-6,Methylarsinic acid,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
2163-80-6,Methylarsinic acid,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
2163-80-6,Methylarsinic acid,9.1C (algal),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
2163-80-6,Methylarsinic acid,9.1C (crustacean),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
2163-80-6,Methylarsinic acid,9.2A,Very ecotoxic in the soil environment,
2163-80-6,Methylarsinic acid,9.3B,Ecotoxic to terrestrial vertebrates,
21651-19-4,Tin (II) oxide,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
21651-19-4,Tin (II) oxide,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
21651-19-4,Tin (II) oxide,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
21651-19-4,Tin (II) oxide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
21679-46-9,Cobalt (III) acetylacetonate,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
21679-46-9,Cobalt (III) acetylacetonate,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
21725-46-2,Cyanazine,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
21725-46-2,Cyanazine,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
21725-46-2,Cyanazine,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
21725-46-2,Cyanazine,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
21725-46-2,Cyanazine,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21725-46-2,Cyanazine,9.1B (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
21725-46-2,Cyanazine,9.1C (crustacean),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
21725-46-2,Cyanazine,9.1C (other),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
21725-46-2,Cyanazine,9.3B,Ecotoxic to terrestrial vertebrates,
218-01-9,Chrysene,6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2
218-01-9,Chrysene,6.7A,Known or presumed human carcinogens,GHS: Carcinogenicity - Category 1
218-01-9,Chrysene,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
218-01-9,Chrysene,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
218-01-9,Chrysene,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2181-42-2,Trimethylsulphonium iodide,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2181-42-2,Trimethylsulphonium iodide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
21829-25-4,Nifedipine,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
21829-25-4,Nifedipine,6.5A (respiratory),Respiratory sensitisers,GHS: Respiratory sensitization - Category 1
21829-25-4,Nifedipine,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
21829-25-4,Nifedipine,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
21829-25-4,Nifedipine,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
21829-25-4,Nifedipine,9.3C,Harmful to terrestrial vertebrates,
2189-60-8,1-Phenyloctane,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
21908-53-2,Mercury (II) oxide,6.1A (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 1
21908-53-2,Mercury (II) oxide,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
21908-53-2,Mercury (II) oxide,6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
21908-53-2,Mercury (II) oxide,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
21908-53-2,Mercury (II) oxide,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21908-53-2,Mercury (II) oxide,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21908-53-2,Mercury (II) oxide,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
21908-53-2,Mercury (II) oxide,9.3A,Very ecotoxic to terrestrial vertebrates,
22013-33-8,"6-Amino-1,4-benzodioxane",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
22042-96-2,"Diethylenetriaminepenta(methylenephosphonic acid), sodium salt",9.1C (algal),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
22042-96-2,"Diethylenetriaminepenta(methylenephosphonic acid), sodium salt",9.1C (crustacean),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
22042-96-2,"Diethylenetriaminepenta(methylenephosphonic acid), sodium salt",9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
22059-60-5,Disopyramide phosphate,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
22059-60-5,Disopyramide phosphate,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
22059-60-5,Disopyramide phosphate,9.3B,Ecotoxic to terrestrial vertebrates,
22071-15-4,Ketoprofen,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
22071-15-4,Ketoprofen,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
22071-15-4,Ketoprofen,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
22071-15-4,Ketoprofen,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
22071-15-4,Ketoprofen,9.3B,Ecotoxic to terrestrial vertebrates,
2210-79-9,"Oxirane, [(2-methylphenoxy)methyl]-",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2210-79-9,"Oxirane, [(2-methylphenoxy)methyl]-",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
2210-79-9,"Oxirane, [(2-methylphenoxy)methyl]-",6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2
2210-79-9,"Oxirane, [(2-methylphenoxy)methyl]-",9.1B (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
2210-79-9,"Oxirane, [(2-methylphenoxy)methyl]-",9.1B (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
2210-79-9,"Oxirane, [(2-methylphenoxy)methyl]-",9.1B (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
22115-41-9,2-(Bromomethyl)-benzonitrile,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
22115-41-9,2-(Bromomethyl)-benzonitrile,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
2216-51-5,L-Menthol,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
2216-51-5,L-Menthol,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2216-51-5,L-Menthol,9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
22204-53-1,Naproxen,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
22204-53-1,Naproxen,6.5A (respiratory),Respiratory sensitisers,GHS: Respiratory sensitization - Category 1
22204-53-1,Naproxen,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
22204-53-1,Naproxen,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
22204-53-1,Naproxen,9.3C,Harmful to terrestrial vertebrates,
2223-82-7,Neopentylglycol diacrylate,6.1B (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 2
2223-82-7,Neopentylglycol diacrylate,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2223-82-7,Neopentylglycol diacrylate,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2223-82-7,Neopentylglycol diacrylate,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
22248-79-9,Tetrachlorvinphos,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
22248-79-9,Tetrachlorvinphos,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
22248-79-9,Tetrachlorvinphos,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
22248-79-9,Tetrachlorvinphos,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
22248-79-9,Tetrachlorvinphos,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
22248-79-9,Tetrachlorvinphos,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
22248-79-9,Tetrachlorvinphos,9.3C,Harmful to terrestrial vertebrates,
22248-79-9,Tetrachlorvinphos,9.4A,Very ecotoxic to terrestrial invertebrates,
2226-96-2,"1-Piperidinyloxy, 4-hydroxy-2,2,6,6-tetramethyl-",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
2226-96-2,"1-Piperidinyloxy, 4-hydroxy-2,2,6,6-tetramethyl-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2226-96-2,"1-Piperidinyloxy, 4-hydroxy-2,2,6,6-tetramethyl-",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
2235-00-9,Vinyl caprolactam,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
2235-00-9,Vinyl caprolactam,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
2235-00-9,Vinyl caprolactam,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
2235-54-3,Dodecyl ammonium sulphate,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
2235-54-3,Dodecyl ammonium sulphate,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2235-54-3,Dodecyl ammonium sulphate,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2235-54-3,Dodecyl ammonium sulphate,9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
2235-54-3,Dodecyl ammonium sulphate,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
22373-78-0,Monensin sodium,6.1A (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 1
22373-78-0,Monensin sodium,6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3
22373-78-0,Monensin sodium,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
22373-78-0,Monensin sodium,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
22373-78-0,Monensin sodium,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
22373-78-0,Monensin sodium,9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
22373-78-0,Monensin sodium,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
22373-78-0,Monensin sodium,9.2B,Ecotoxic in the soil environment,
22373-78-0,Monensin sodium,9.3A,Very ecotoxic to terrestrial vertebrates,
2243-83-6,2-Naphthoyl chloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
2243-83-6,2-Naphthoyl chloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
2244-11-3,Alloxan,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
2244-11-3,Alloxan,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
2244-11-3,Alloxan,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
22464-76-2,"Calcium hypochlorite, hydrated",5.1.1B,Oxidising substances that are liquids or solids: medium hazard,GHS: Oxidizing liquids/solids - Category 2
22464-76-2,"Calcium hypochlorite, hydrated",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
22483-09-6,Aminoacetaldehyde dimethyl acetal,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
22483-09-6,Aminoacetaldehyde dimethyl acetal,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
22483-09-6,Aminoacetaldehyde dimethyl acetal,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2269-22-9,Aluminium tri-s-butylate,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
2273-43-0,"Stannane, butylhydroxyoxo-",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
2273-43-0,"Stannane, butylhydroxyoxo-",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2273-43-0,"Stannane, butylhydroxyoxo-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2273-43-0,"Stannane, butylhydroxyoxo-",9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
22763-03-7,Tripotassium orthophosphate,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
22763-03-7,Tripotassium orthophosphate,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2277-92-1,Oxyclozanide,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
2277-92-1,Oxyclozanide,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
2277-92-1,Oxyclozanide,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
2277-92-1,Oxyclozanide,9.3C,Harmful to terrestrial vertebrates,
22781-23-3,Bendiocarb,6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
22781-23-3,Bendiocarb,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
22781-23-3,Bendiocarb,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
22781-23-3,Bendiocarb,6.9A (inhalation),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
22781-23-3,Bendiocarb,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
22781-23-3,Bendiocarb,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
22781-23-3,Bendiocarb,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
22781-23-3,Bendiocarb,9.3A,Very ecotoxic to terrestrial vertebrates,
22781-23-3,Bendiocarb,9.4A,Very ecotoxic to terrestrial invertebrates,
2279-76-7,Tripropyltin chloride,6.1B (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 2
2279-76-7,Tripropyltin chloride,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
2279-76-7,Tripropyltin chloride,6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
2279-76-7,Tripropyltin chloride,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2279-76-7,Tripropyltin chloride,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2279-76-7,Tripropyltin chloride,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2279-76-7,Tripropyltin chloride,9.3A,Very ecotoxic to terrestrial vertebrates,
22809-37-6,6-Bromohexanoyl chloride,6.1E (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 5
22809-37-6,6-Bromohexanoyl chloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
22809-37-6,6-Bromohexanoyl chloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
2283-11-6,Hexaethyltriaminophosphine,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2283-11-6,Hexaethyltriaminophosphine,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
22832-87-7,Miconazole nitrate,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
22832-87-7,Miconazole nitrate,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
22832-87-7,Miconazole nitrate,9.3B,Ecotoxic to terrestrial vertebrates,
22862-76-6,Streptomyces griseolus,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
22862-76-6,Streptomyces griseolus,9.3B,Ecotoxic to terrestrial vertebrates,
2300-66-5,Dicamba DMA,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
2300-66-5,Dicamba DMA,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2300-66-5,Dicamba DMA,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2300-66-5,Dicamba DMA,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
2300-66-5,Dicamba DMA,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2300-66-5,Dicamba DMA,9.2A,Very ecotoxic in the soil environment,
2300-66-5,Dicamba DMA,9.3C,Harmful to terrestrial vertebrates,
23031-36-9,Prallethrin,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
23031-36-9,Prallethrin,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
23031-36-9,Prallethrin,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
23031-36-9,Prallethrin,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
23031-36-9,Prallethrin,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
23031-36-9,Prallethrin,9.3B,Ecotoxic to terrestrial vertebrates,
23031-36-9,Prallethrin,9.4A,Very ecotoxic to terrestrial invertebrates,
23074-42-2,1-Adamantanecarbonitrile,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
23074-42-2,1-Adamantanecarbonitrile,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
23074-42-2,1-Adamantanecarbonitrile,9.3C,Harmful to terrestrial vertebrates,
23110-15-8,Fumagillin,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
23110-15-8,Fumagillin,9.3B,Ecotoxic to terrestrial vertebrates,
2312-35-8,Propargite,3.1D,Flammable Liquids: low hazard,GHS: Flammable liquids - Category 4
2312-35-8,Propargite,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
2312-35-8,Propargite,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
2312-35-8,Propargite,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
2312-35-8,Propargite,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
2312-35-8,Propargite,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
2312-35-8,Propargite,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
2312-35-8,Propargite,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2312-35-8,Propargite,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2312-35-8,Propargite,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2312-35-8,Propargite,9.1A (other),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
2312-35-8,Propargite,9.3C,Harmful to terrestrial vertebrates,
2312-35-8,Propargite,9.4C,Harmful to terrestrial invertebrates,
2312-73-4,"9H-Purin-6-amine, N-(phenylmethyl)-9-(tetrahydro-2H-pyran-2-yl)-",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
2312-73-4,"9H-Purin-6-amine, N-(phenylmethyl)-9-(tetrahydro-2H-pyran-2-yl)-",9.3C,Harmful to terrestrial vertebrates,
2314-97-8,Trifluoroiodomethane,6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2
2315-02-8,Oxymetazoline hydrochloride,6.1A (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 1
2315-02-8,Oxymetazoline hydrochloride,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
2315-02-8,Oxymetazoline hydrochloride,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
2315-02-8,Oxymetazoline hydrochloride,9.1C (algal),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
2315-02-8,Oxymetazoline hydrochloride,9.1C (crustacean),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
2315-02-8,Oxymetazoline hydrochloride,9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
2315-02-8,Oxymetazoline hydrochloride,9.3A,Very ecotoxic to terrestrial vertebrates,
