CASRN,Name,Hazard class,Category,H-statement,M-factor
83130-01-2,"5-Oxa-2,8-dithia-4,7,9-triazadodec-3-en-12-oic acid, 3,7-dimethyl-6-oxo-9-(phenylmethyl)-, ethyl ester, (3Z)- ; Alanycarb",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
17109-49-8,Edifenphos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
17109-49-8,"Phosphorodithioic acid O-ethyl S,S-diphenyl ester ; Edifenphos",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
17109-49-8,"Phosphorodithioic acid O-ethyl S,S-diphenyl ester ; Edifenphos",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
17109-49-8,"Phosphorodithioic acid O-ethyl S,S-diphenyl ester ; Edifenphos",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
17109-49-8,"Phosphorodithioic acid O-ethyl S,S-diphenyl ester ; Edifenphos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
17109-49-8,"Phosphorodithioic acid O-ethyl S,S-diphenyl ester ; Edifenphos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,0
50-14-6,Edifenphos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
67-97-0,Ebivit,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
67-97-0,"(3β,5Z,7E)-9,10-Secocholesta-5,7,10(19)-trien-3-ol ; Vitamin D3, Cholecalciferol",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
67-97-0,"(3β,5Z,7E)-9,10-Secocholesta-5,7,10(19)-trien-3-ol ; Vitamin D3, Cholecalciferol",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
67-97-0,"(3β,5Z,7E)-9,10-Secocholesta-5,7,10(19)-trien-3-ol ; Vitamin D3, Cholecalciferol",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
79456-26-1,ACTP,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
79456-26-1,[3-Chloro-5-(trifluoromethyl)-2-pyridyl]amine ; ACTP,Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
115-29-7,Endosulfan,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
115-29-7,"1,2,3,4,7,7-Hexachlorobicyclo[2.2.1]-2-heptene-5,6-bisoxymethylene sulfite ; Endosulfan",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
115-29-7,"1,2,3,4,7,7-Hexachlorobicyclo[2.2.1]-2-heptene-5,6-bisoxymethylene sulfite ; Endosulfan",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
115-29-7,"1,2,3,4,7,7-Hexachlorobicyclo[2.2.1]-2-heptene-5,6-bisoxymethylene sulfite ; Endosulfan",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
115-29-7,"1,2,3,4,7,7-Hexachlorobicyclo[2.2.1]-2-heptene-5,6-bisoxymethylene sulfite ; Endosulfan",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
145-73-3,Endothal,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
145-73-3,"7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid ; Endothal",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
145-73-3,"7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid ; Endothal",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
145-73-3,"7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid ; Endothal",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
2778-04-3,Endothion,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
2778-04-3,"Phosphorothioic acid, S-[(5-methoxy-4-oxo-4H-pyran-2-yl)methyl] O,O-dimethyl ester ; Endothion",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
72-20-8,Endrin,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,1000
72-20-8,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aα,2β,2aβ,3α,6a,6αβ,7β,7aα)- ; Endrin",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
72-20-8,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aα,2β,2aβ,3α,6a,6αβ,7β,7aα)- ; Endrin",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
72-20-8,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aα,2β,2aβ,3α,6a,6αβ,7β,7aα)- ; Endrin",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
5903-13-9,MNFA,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
5903-13-9,2-Fluoro-N-methyl-N-(1-naphthenyl)acetamide ; MNFA,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Carcinogenicity,Category 1,H350 - May cause cancer,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Reproductive toxicity,Category 2,H361 - Suspected of damaging fertility or the unborn child,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
3033-77-0,"2,3-Epoxypropyltrimethylammonium chloride ; Oxiranemethanaminium, N,N,N-trimethyl-, chloride",Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
13371-17-0,Butyltriphenylphosphonium chloride,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
115-78-6,Chlorphonium chloride,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
115-78-6,"Chlorphonium chloride ; Tributyl(2,4-dichlorobenzyl)phosphonium chloride",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
115-78-6,"Chlorphonium chloride ; Tributyl(2,4-dichlorobenzyl)phosphonium chloride",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
115-78-6,"Chlorphonium chloride ; Tributyl(2,4-dichlorobenzyl)phosphonium chloride",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
1314-56-3,Phosphorus pentoxide,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
1314-56-3,Phosphorus pentoxide,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
301-12-2,Oxydemeton-methyl,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
301-12-2,"Oxydemeton-methyl ; Phosphorothioic acid, S-[2-(ethylsulfinyl)ethyl] O,O-dimethyl ester",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
301-12-2,"Oxydemeton-methyl ; Phosphorothioic acid, S-[2-(ethylsulfinyl)ethyl] O,O-dimethyl ester",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
2674-91-1,Oxydeprofos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2674-91-1,"S-(2-Ethylsulphinyl-1-methylethyl)-O,O-dimethyl phosphorothioate ; Oxydeprofos",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
86598-92-7,Imibenconazole,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
86598-92-7,"1H-1,2,4-Triazole-1-ethanimidothioic acid, N-(2,4-dichlorophenyl)-, (4-chlorophenyl)methyl ester ; Imibenconazole",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
86598-92-7,"1H-1,2,4-Triazole-1-ethanimidothioic acid, N-(2,4-dichlorophenyl)-, (4-chlorophenyl)methyl ester ; Imibenconazole",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2552-55-8,Ibotenic acid,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
2552-55-8,"5-Isoxazoleacetic acid, a-amino-2,3-dihydro-3-oxo- ; Ibotenic acid",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
42509-80-8,Isazofos,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,10
42509-80-8,"O-(5-Chloro-1-isopropyl-1,2,4-triazol-3-yl) O,O-diethyl phosphorothioate ; Isazofos",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
42509-80-8,"O-(5-Chloro-1-isopropyl-1,2,4-triazol-3-yl) O,O-diethyl phosphorothioate ; Isazofos",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
42509-80-8,"O-(5-Chloro-1-isopropyl-1,2,4-triazol-3-yl) O,O-diethyl phosphorothioate ; Isazofos",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
42509-80-8,"O-(5-Chloro-1-isopropyl-1,2,4-triazol-3-yl) O,O-diethyl phosphorothioate ; Isazofos",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
42509-80-8,"O-(5-Chloro-1-isopropyl-1,2,4-triazol-3-yl) O,O-diethyl phosphorothioate ; Isazofos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
42509-80-8,"O-(5-Chloro-1-isopropyl-1,2,4-triazol-3-yl) O,O-diethyl phosphorothioate ; Isazofos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,100
297-78-9,Isobenzan,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
297-78-9,"1,3,4,5,6,7,8,8-Octachloro-1,3,3a,4,7,7a-hexahydro-4,7-methanoisobenzofuran ; Isobenzan",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
297-78-9,"1,3,4,5,6,7,8,8-Octachloro-1,3,3a,4,7,7a-hexahydro-4,7-methanoisobenzofuran ; Isobenzan",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
36614-38-7,Isothioate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
36614-38-7,"Phosphorodithioic acid, O,O-dimethyl S-[2-[(1-methylethyl)thio]ethyl] ester ; Isothioate",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
55-91-4,Isofluorphate,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
18854-01-8,Isoxathion,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
18854-01-8,"O,O-Diethyl O-5-phenylisoxazol-3-ylphosphorothioate ; Isoxathion",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
18854-01-8,"O,O-Diethyl O-5-phenylisoxazol-3-ylphosphorothioate ; Isoxathion",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
18854-01-8,"O,O-Diethyl O-5-phenylisoxazol-3-ylphosphorothioate ; Isoxathion",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
18854-01-8,"O,O-Diethyl O-5-phenylisoxazol-3-ylphosphorothioate ; Isoxathion",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
163831-67-2,1-[2-[Ethyl[4-[4-[4-[ethyl(2-pyridinoethyl)amino]-2-methylphenylazo]benzoylamino]phenylazo]-3-methylphenyl]amino]ethyl]pyridinium dichloride,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
163831-67-2,1-[2-[Ethyl[4-[4-[4-[ethyl(2-pyridinoethyl)amino]-2-methylphenylazo]benzoylamino]phenylazo]-3-methylphenyl]amino]ethyl]pyridinium dichloride,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
163831-67-2,1-[2-[Ethyl[4-[4-[4-[ethyl(2-pyridinoethyl)amino]-2-methylphenylazo]benzoylamino]phenylazo]-3-methylphenyl]amino]ethyl]pyridinium dichloride,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
1689-83-4,Ioxynil,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
1689-83-4,"4-Hydroxy-3,5-diiodobenzonitrile ; Ioxynil",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
1689-83-4,"4-Hydroxy-3,5-diiodobenzonitrile ; Ioxynil",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
1689-83-4,"4-Hydroxy-3,5-diiodobenzonitrile ; Ioxynil",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
1689-83-4,"4-Hydroxy-3,5-diiodobenzonitrile ; Ioxynil",Reproductive toxicity,Category 2,H361 - Suspected of damaging fertility or the unborn child,
1689-83-4,"4-Hydroxy-3,5-diiodobenzonitrile ; Ioxynil",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
1689-83-4,"4-Hydroxy-3,5-diiodobenzonitrile ; Ioxynil",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
1689-83-4,"4-Hydroxy-3,5-diiodobenzonitrile ; Ioxynil",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
1341-49-7,Ammonium bifluoride,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
1341-49-7,Ammonium hydrogendifluoride,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
20859-73-8,Aluminium phosphide,"Substances and mixtures which, in contact with water, emit flammable gases",Category 1,H260 - In contact with water releases flammable gases which may ignite spontaneously,100
20859-73-8,Aluminium phosphide,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
20859-73-8,Aluminium phosphide,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
52315-07-8,Zeta cypermethrin,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,1000
52315-07-8,"α-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
52315-07-8,"α-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
52315-07-8,"α-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
52315-07-8,"α-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
137-30-4,Ziram,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,100
137-30-4,Ziram,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
137-30-4,Ziram,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
137-30-4,"Bis(dimethylcarbamodithioato-S,S')zinc ; Zinc dimethyldithiocarbamate",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
137-30-4,"Bis(dimethylcarbamodithioato-S,S')zinc ; Zinc dimethyldithiocarbamate",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
137-30-4,"Bis(dimethylcarbamodithioato-S,S')zinc ; Zinc dimethyldithiocarbamate",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
137-30-4,"Bis(dimethylcarbamodithioato-S,S')zinc ; Zinc dimethyldithiocarbamate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
137-30-4,"Bis(dimethylcarbamodithioato-S,S')zinc ; Zinc dimethyldithiocarbamate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
10102-45-1,Thallium nitrate,Oxidizing solids,Category 2,H272 - May intensify fire; oxidizer,
10102-45-1,Thallium nitrate,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
2439-01-2,Chinomethionate,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Reproductive toxicity,Category 2,H361 - Suspected of damaging fertility or the unborn child,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
2439-01-2,"Dithiocarbonic acid cyclic S,S-(6-methyl-2,3-quinoxalinediyl) ester ; 6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one, Chinomethionate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
95465-99-9,Cadusafos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
95465-99-9,"Phosphorodithioic acid, O-ethyl S,S-bis(1-methylpropyl) ester ; Cadusafos",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
95465-99-9,"Phosphorodithioic acid, O-ethyl S,S-bis(1-methylpropyl) ester ; Cadusafos",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
95465-99-9,"Phosphorodithioic acid, O-ethyl S,S-bis(1-methylpropyl) ester ; Cadusafos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
95465-99-9,"Phosphorodithioic acid, O-ethyl S,S-bis(1-methylpropyl) ester ; Cadusafos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,0
63-25-2,Carbaryl,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
63-25-2,"1-Naphthyl methylcarbamate ; Carbaryl, 1-Naphthalenol, methylcarbamate",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
63-25-2,"1-Naphthyl methylcarbamate ; Carbaryl, 1-Naphthalenol, methylcarbamate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
55285-14-8,Carbosulfan,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
55285-14-8,"2,3-Dihydro-2,2-dimethylbenzofuran-7-yl [(dibutylanino)thio]methylcarbamate;2, 3-Dihydro-2,2-dimethyl-7-benzofuryl [(dibutylamino)thio]methylcarbamate",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
55285-14-8,"2,3-Dihydro-2,2-dimethylbenzofuran-7-yl [(dibutylanino)thio]methylcarbamate;2, 3-Dihydro-2,2-dimethyl-7-benzofuryl [(dibutylamino)thio]methylcarbamate",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
55285-14-8,"2,3-Dihydro-2,2-dimethylbenzofuran-7-yl [(dibutylanino)thio]methylcarbamate;2, 3-Dihydro-2,2-dimethyl-7-benzofuryl [(dibutylamino)thio]methylcarbamate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
55285-14-8,"2,3-Dihydro-2,2-dimethylbenzofuran-7-yl [(dibutylanino)thio]methylcarbamate;2, 3-Dihydro-2,2-dimethyl-7-benzofuryl [(dibutylamino)thio]methylcarbamate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
7440-09-7,Potassium,"Substances and mixtures which, in contact with water, emit flammable gases",Category 1,H260 - In contact with water releases flammable gases which may ignite spontaneously,
7440-09-7,Potassium,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
8001-35-2,Camphechlor,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
8001-35-2,Camphechlor ; Toxaphene,Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
8001-35-2,Camphechlor ; Toxaphene,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
8001-35-2,Camphechlor ; Toxaphene,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
8001-35-2,Camphechlor ; Toxaphene,Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
8001-35-2,Camphechlor ; Toxaphene,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
8001-35-2,Camphechlor ; Toxaphene,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2425-06-1,Captafol,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
2425-06-1,"N-[(1,1,2,2-Tetrachloroethyl)thio]cyclohex-4-ene-1,2-dicarboximide ; Captafol, Difolatan",Carcinogenicity,Category 1,H350 - May cause cancer,
2425-06-1,"N-[(1,1,2,2-Tetrachloroethyl)thio]cyclohex-4-ene-1,2-dicarboximide ; Captafol, Difolatan",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
2425-06-1,"N-[(1,1,2,2-Tetrachloroethyl)thio]cyclohex-4-ene-1,2-dicarboximide ; Captafol, Difolatan",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
133-06-2,Captan,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,10
133-06-2,Captan,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
133-06-2,Captan,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
133-06-2,"3a,4,7,7a-Tetrahydro-2-[(trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione ; Captan, Merpan",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
133-06-2,"3a,4,7,7a-Tetrahydro-2-[(trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione ; Captan, Merpan",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
81-82-3,Coumachlor,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
81-82-3,3-[1-(4-Chlorophenyl)-3-oxobutyl]-4-hydroxy-2H-1-benzopyran-2-one ; Coumachlor,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
117-52-2,Coumafuryl,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
117-52-2,"2H-1-Benzopyran-2-one, 3-[1-(2-furanyl)-3-oxobutyl]-4-hydroxy- ; Coumafuryl",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
572-48-5,Coumithoate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
13593-03-8,Quinalphos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
13593-03-8,"O,O-Diethyl O-quinoxalin-2-yl phosphorothioate ; Quinalphos",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
13593-03-8,"O,O-Diethyl O-quinoxalin-2-yl phosphorothioate ; Quinalphos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
13593-03-8,"O,O-Diethyl O-quinoxalin-2-yl phosphorothioate ; Quinalphos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
7700-17-6,Crotoxyphos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
7700-17-6,1-Phenylethyl 3-[(dimethoxyphosphinoyl)oxy]crotonate ; Crotoxyphos,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
7700-17-6,1-Phenylethyl 3-[(dimethoxyphosphinoyl)oxy]crotonate ; Crotoxyphos,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
7700-17-6,1-Phenylethyl 3-[(dimethoxyphosphinoyl)oxy]crotonate ; Crotoxyphos,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
79-11-8,Chloroacetic acid,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
79-11-8,Chloroacetic acid,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
79-11-8,Chloroacetic acid,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
79-11-8,"Acetic acid, chloro-",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
79-11-8,"Acetic acid, chloro-",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
1897-45-6,Chlorothalonil,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,10
1897-45-6,Chlorothalonil,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
1897-45-6,Chlorothalonil,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
1897-45-6,Chlorothalonil,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
1897-45-6,"2,4,5,6-Tetrachloro-1,3-benzenedicarbonitrile ; Chlorothalonil, Daconil,TPN",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
1897-45-6,"2,4,5,6-Tetrachloro-1,3-benzenedicarbonitrile ; Chlorothalonil, Daconil,TPN",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
